date;rule;action;support;confidence;lift
2015-01-21;c->c;HOLD;0.10756972111553785;0.675;4.132317073170732
2015-01-21;c->d;BUY;0.03187250996015936;0.2;0.7171428571428572
2015-01-22;c->c;HOLD;0.10756972111553785;0.6585365853658537;4.031528851873885
2015-01-23;c->c;HOLD;0.10756972111553785;0.6585365853658537;4.031528851873885
2015-01-26;c->c;HOLD;0.11155378486055777;0.6829268292682927;4.08130081300813
2015-01-27;c->c;HOLD;0.11553784860557768;0.6904761904761905;4.030454042081949
2015-01-28;c->c;HOLD;0.12350597609561753;0.7209302325581395;4.112579281183932
2015-01-29;c->c;HOLD;0.11952191235059761;0.6976744186046512;3.979915433403806
2015-01-30;c->c;HOLD;0.12350597609561753;0.7045454545454546;3.9297979797979794
2015-02-02;b->b;HOLD;0.0796812749003984;0.6666666666666666;5.397849462365591
2015-02-03;b->b;HOLD;0.08366533864541832;0.6774193548387096;5.313508064516129
2015-02-04;b->b;HOLD;0.08764940239043825;0.6875;5.229166666666668
2015-02-05;b->b;HOLD;0.09163346613545817;0.696969696969697;5.145276292335117
2015-02-06;a->a;HOLD;0.19123505976095617;0.9056603773584906;4.209643605870021
2015-02-09;a->a;HOLD;0.1952191235059761;0.9074074074074074;4.141077441077441
2015-02-10;a->a;HOLD;0.199203187250996;0.9090909090909091;4.074675324675324
2015-02-11;a->a;HOLD;0.199203187250996;0.9090909090909091;4.074675324675324
2015-02-12;b->b;HOLD;0.09561752988047809;0.6857142857142857;4.780952380952381
2015-02-13;b->b;HOLD;0.09561752988047809;0.6857142857142857;4.780952380952381
2015-02-16;b->b;HOLD;0.099601593625498;0.6944444444444444;4.71096096096096
2015-02-17;c->c;HOLD;0.09561752988047809;0.6486486486486487;4.2844950213371265
2015-02-18;c->c;HOLD;0.099601593625498;0.6578947368421053;4.234143049932523
2015-02-19;d->d;HOLD;0.20318725099601595;0.8095238095238095;3.1748511904761907
2015-02-20;e->e;HOLD;0.20717131474103587;0.9122807017543859;4.017236072637735
2015-02-24;e->e;HOLD;0.20717131474103587;0.9122807017543859;4.017236072637735
2015-02-25;e->e;HOLD;0.20717131474103587;0.9122807017543859;4.017236072637735
2015-02-26;e->e;HOLD;0.20717131474103587;0.9122807017543859;4.017236072637735
2015-02-27;e->e;HOLD;0.20318725099601595;0.9107142857142857;4.081951530612246
