open;close;high;low;value;volume;begin;end
100.2;98.91;100.31;98.62;3154470383.9;31691800;2014-01-06 00:00:00;2014-01-06 23:59:59
99.1;98.19;99.41;97.85;4179938515.5;42372290;2014-01-08 00:00:00;2014-01-08 23:59:59
98.44;98.0;98.77;97.69;4518388781.2;45986900;2014-01-09 00:00:00;2014-01-09 23:59:59
97.87;99.2;99.41;97.52;5109679480.9;51902400;2014-01-10 00:00:00;2014-01-10 23:59:59
99.3;100.25;100.35;99.04;6191507238.7;62051250;2014-01-13 00:00:00;2014-01-13 23:59:59
99.18;99.24;99.73;98.51;7781261285.6;78485160;2014-01-14 00:00:00;2014-01-14 23:59:59
99.95;100.77;100.79;99.56;7807555438.7;77839370;2014-01-15 00:00:00;2014-01-15 23:59:59
100.9;100.65;101.64;100.53;6342081313.5;62759280;2014-01-16 00:00:00;2014-01-16 23:59:59
100.36;101.17;101.45;100.1;6976427837.1;69135170;2014-01-17 00:00:00;2014-01-17 23:59:59
100.99;101.96;102.17;100.66;6337126441.7;62429420;2014-01-20 00:00:00;2014-01-20 23:59:59
102.5;102.2;102.57;101.9;6340162289.1;61991430;2014-01-21 00:00:00;2014-01-21 23:59:59
102.21;102.17;102.49;101.13;5962256453.3;58589100;2014-01-22 00:00:00;2014-01-22 23:59:59
101.81;101.7;102.92;101.56;7229344462.4;70600710;2014-01-23 00:00:00;2014-01-23 23:59:59
100.99;99.7;101.26;99.63;11328433229.4;112821700;2014-01-24 00:00:00;2014-01-24 23:59:59
98.62;97.78;99.11;97.63;10205265742.8;103793450;2014-01-27 00:00:00;2014-01-27 23:59:59
98.21;97.36;98.74;97.05;7879197170.2;80448950;2014-01-28 00:00:00;2014-01-28 23:59:59
97.93;95.98;98.98;95.73;11798207834.2;120814560;2014-01-29 00:00:00;2014-01-29 23:59:59
96.1;95.8;96.69;94.4;12465984799.6;130498640;2014-01-30 00:00:00;2014-01-30 23:59:59
95.8;94.7;96.27;94.43;9826064290.3;103047610;2014-01-31 00:00:00;2014-01-31 23:59:59
94.95;94.66;95.89;94.55;7762450691.6;81505780;2014-02-03 00:00:00;2014-02-03 23:59:59
93.55;94.07;94.48;93.25;8816982226.2;93931280;2014-02-04 00:00:00;2014-02-04 23:59:59
94.31;95.45;95.65;94.01;8614557954.1;90666210;2014-02-05 00:00:00;2014-02-05 23:59:59
95.78;96.62;96.81;95.65;7316925270.3;76095210;2014-02-06 00:00:00;2014-02-06 23:59:59
97.0;96.53;97.36;96.11;7520576896.1;77654990;2014-02-07 00:00:00;2014-02-07 23:59:59
96.94;95.47;97.08;95.42;6527070792.2;67771880;2014-02-10 00:00:00;2014-02-10 23:59:59
95.97;96.12;96.65;95.51;5293672847.6;55103910;2014-02-11 00:00:00;2014-02-11 23:59:59
96.91;96.84;97.14;96.15;6836550789.2;70670070;2014-02-12 00:00:00;2014-02-12 23:59:59
96.3;95.5;96.69;95.3;5971881712.3;62181740;2014-02-13 00:00:00;2014-02-13 23:59:59
95.8;96.65;96.84;95.7;6152005931.6;63884790;2014-02-14 00:00:00;2014-02-14 23:59:59
97.1;97.49;98.08;97.09;5342634607.5;54738670;2014-02-17 00:00:00;2014-02-17 23:59:59
97.5;96.62;97.95;96.55;5521845072.9;56765130;2014-02-18 00:00:00;2014-02-18 23:59:59
96.51;94.9;96.59;94.53;7585763995.6;79367620;2014-02-19 00:00:00;2014-02-19 23:59:59
94.1;94.63;94.76;93.61;6803693880.4;72263740;2014-02-20 00:00:00;2014-02-20 23:59:59
95.02;95.0;95.44;94.51;4957617662.0;52205040;2014-02-21 00:00:00;2014-02-21 23:59:59
95.0;94.69;95.09;94.06;4560183217.6;48226210;2014-02-24 00:00:00;2014-02-24 23:59:59
95.37;94.17;95.48;93.32;7028565285.6;74634340;2014-02-25 00:00:00;2014-02-25 23:59:59
