window_start;window_end;rule;support;confidence;lift;from_filtered
2014-01-20;2015-01-20;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-20;2015-01-20;a->a;0.199203187250996;0.9090909090909091;4.148760330578512;True
2014-01-20;2015-01-20;d->d;0.22709163346613545;0.8142857142857143;2.9197959183673476;True
2014-01-20;2015-01-20;c->c;0.10756972111553785;0.675;4.132317073170732;True
2014-01-20;2015-01-20;b->b;0.07569721115537849;0.6333333333333333;5.481609195402299;True
2014-01-21;2015-01-21;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-21;2015-01-21;a->a;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-21;2015-01-21;d->d;0.22310756972111553;0.8115942028985508;2.9523209409787863;True
2014-01-21;2015-01-21;c->c;0.10756972111553785;0.6585365853658537;4.031528851873885;True
2014-01-21;2015-01-21;b->b;0.07171314741035857;0.6206896551724138;5.3721759809750305;True
2014-01-22;2015-01-22;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-22;2015-01-22;a->a;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-22;2015-01-22;d->d;0.22310756972111553;0.8115942028985508;2.9523209409787863;True
2014-01-22;2015-01-22;c->c;0.10756972111553785;0.6585365853658537;4.031528851873885;True
2014-01-22;2015-01-22;b->b;0.07171314741035857;0.6206896551724138;5.3721759809750305;True
2014-01-23;2015-01-23;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-23;2015-01-23;a->a;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-23;2015-01-23;d->d;0.22310756972111553;0.8115942028985508;2.995737425404945;True
2014-01-23;2015-01-23;c->c;0.11155378486055777;0.6829268292682927;4.08130081300813;True
2014-01-23;2015-01-23;b->b;0.07171314741035857;0.6206896551724138;5.3721759809750305;True
2014-01-24;2015-01-26;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-24;2015-01-26;a->a;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-24;2015-01-26;d->d;0.21912350597609562;0.8088235294117647;3.0300702370500443;True
2014-01-24;2015-01-26;c->c;0.11553784860557768;0.6904761904761905;4.030454042081949;True
2014-01-24;2015-01-26;b->b;0.07171314741035857;0.6206896551724138;5.3721759809750305;True
2014-01-27;2015-01-27;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-27;2015-01-27;a->a;0.199203187250996;0.9090909090909091;4.148760330578512;True
2014-01-27;2015-01-27;d->d;0.21912350597609562;0.8088235294117647;3.0300702370500443;True
2014-01-27;2015-01-27;c->c;0.12350597609561753;0.7209302325581395;4.112579281183932;True
2014-01-27;2015-01-27;b->b;0.07569721115537849;0.6551724137931034;5.67063020214031;True
2014-01-28;2015-01-28;e->e;0.20318725099601595;0.9107142857142857;4.081951530612246;True
2014-01-28;2015-01-28;a->a;0.199203187250996;0.9090909090909091;4.148760330578512;True
2014-01-28;2015-01-28;d->d;0.2151394422310757;0.7941176470588235;2.9749780509218615;True
2014-01-28;2015-01-28;c->c;0.11952191235059761;0.6976744186046512;3.979915433403806;True
2014-01-28;2015-01-28;b->b;0.07569721115537849;0.6551724137931034;5.67063020214031;True
2014-01-29;2015-01-29;e->e;0.20717131474103587;0.9122807017543859;4.017236072637735;True
2014-01-29;2015-01-29;a->a;0.1952191235059761;0.9074074074074074;4.217764060356653;True
2014-01-29;2015-01-29;d->d;0.20717131474103587;0.7878787878787878;3.042424242424243;True
2014-01-29;2015-01-29;c->c;0.12350597609561753;0.7045454545454546;3.9297979797979794;True
2014-01-29;2015-01-29;b->b;0.0796812749003984;0.6666666666666666;5.5777777777777775;True
2014-01-30;2015-01-30;e->e;0.21115537848605578;0.9137931034482759;3.954518430439953;True
2014-01-30;2015-01-30;a->a;0.1952191235059761;0.9074074074074074;4.217764060356653;True
2014-01-30;2015-01-30;d->d;0.199203187250996;0.78125;3.112599206349206;True
2014-01-30;2015-01-30;c->c;0.12350597609561753;0.6888888888888889;3.842469135802469;True
2014-01-30;2015-01-30;b->b;0.0796812749003984;0.6666666666666666;5.397849462365591;True
2014-01-31;2015-02-02;e->e;0.21115537848605578;0.9137931034482759;3.954518430439953;True
2014-01-31;2015-02-02;a->a;0.1952191235059761;0.9074074074074074;4.217764060356653;True
2014-01-31;2015-02-02;d->d;0.20318725099601595;0.7846153846153846;3.077163461538462;True
2014-01-31;2015-02-02;b->b;0.08366533864541832;0.6774193548387096;5.313508064516129;True
2014-01-31;2015-02-02;c->c;0.11553784860557768;0.6744186046511628;3.936722552731206;True
2014-02-03;2015-02-03;e->e;0.21115537848605578;0.9137931034482759;3.954518430439953;True
2014-02-03;2015-02-03;a->a;0.1952191235059761;0.9074074074074074;4.217764060356653;True
2014-02-03;2015-02-03;d->d;0.20318725099601595;0.796875;3.125244140625;True
2014-02-03;2015-02-03;b->b;0.08764940239043825;0.6875;5.229166666666668;True
2014-02-03;2015-02-03;c->c;0.11553784860557768;0.6744186046511628;4.030454042081949;True
2014-02-04;2015-02-04;e->e;0.21115537848605578;0.9137931034482759;3.954518430439953;True
2014-02-04;2015-02-04;a->a;0.1952191235059761;0.9074074074074074;4.217764060356653;True
2014-02-04;2015-02-04;d->d;0.20318725099601595;0.796875;3.125244140625;True
2014-02-04;2015-02-04;b->b;0.09163346613545817;0.696969696969697;5.145276292335117;True
2014-02-04;2015-02-04;c->c;0.11155378486055777;0.6666666666666666;4.08130081300813;True
2014-02-05;2015-02-05;e->e;0.21115537848605578;0.9137931034482759;3.954518430439953;True
2014-02-05;2015-02-05;a->a;0.19123505976095617;0.9056603773584906;4.209643605870021;True
2014-02-05;2015-02-05;d->d;0.20318725099601595;0.796875;3.125244140625;True
