"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2024","1,664.00","1,644.00","1,664.00","1,638.50","3.19M","0.54%"
"09/03/2024","1,655.00","1,650.00","1,667.00","1,649.00","11.86M","0.27%"
"09/02/2024","1,650.50","1,660.00","1,662.00","1,640.50","5.00M","-0.39%"
"08/30/2024","1,657.00","1,653.00","1,668.00","1,653.00","10.05M","0.33%"
"08/29/2024","1,651.50","1,662.50","1,668.50","1,649.00","3.17M","0.00%"
"08/28/2024","1,651.50","1,652.00","1,662.50","1,632.50","7.65M","2.07%"
"08/27/2024","1,618.00","1,607.50","1,630.00","1,607.50","10.44M","0.97%"
"08/23/2024","1,602.50","1,600.50","1,607.50","1,596.00","8.08M","0.34%"
"08/22/2024","1,597.00","1,595.50","1,602.00","1,593.00","5.39M","0.06%"
"08/21/2024","1,596.00","1,593.00","1,604.00","1,588.00","9.71M","0.25%"
"08/20/2024","1,592.00","1,597.50","1,601.00","1,582.00","2.11M","-0.44%"
"08/19/2024","1,599.00","1,588.00","1,602.00","1,583.50","2.78M","0.50%"
"08/16/2024","1,591.00","1,594.00","1,599.00","1,586.50","3.00M","-0.31%"
"08/15/2024","1,596.00","1,591.50","1,606.50","1,586.00","15.07M","-0.09%"
"08/14/2024","1,597.50","1,594.00","1,603.50","1,591.00","3.79M","0.31%"
"08/13/2024","1,592.50","1,571.50","1,592.50","1,567.50","3.67M","1.30%"
"08/12/2024","1,572.00","1,570.50","1,580.50","1,566.00","4.00M","0.42%"
"08/09/2024","1,565.50","1,563.50","1,568.50","1,547.50","5.53M","0.35%"
"08/08/2024","1,560.00","1,546.00","1,570.00","1,539.00","5.49M","1.63%"
"08/07/2024","1,535.00","1,523.00","1,543.00","1,519.50","3.42M","0.89%"
"08/06/2024","1,521.50","1,557.00","1,558.50","1,510.50","6.58M","-1.65%"
"08/05/2024","1,547.00","1,566.50","1,582.00","1,544.00","7.71M","-0.99%"
"08/02/2024","1,562.50","1,541.00","1,591.00","1,532.50","10.75M","2.39%"
"08/01/2024","1,526.00","1,519.00","1,530.00","1,504.50","6.05M","0.93%"
"07/31/2024","1,512.00","1,536.00","1,550.00","1,497.00","21.02M","-1.98%"
"07/30/2024","1,542.50","1,550.50","1,561.00","1,542.50","5.90M","-0.93%"
"07/29/2024","1,557.00","1,553.50","1,572.50","1,546.00","4.07M","0.26%"
"07/26/2024","1,553.00","1,525.00","1,557.50","1,521.50","5.19M","1.94%"
"07/25/2024","1,523.50","1,517.00","1,533.00","1,508.50","8.39M","0.89%"
"07/24/2024","1,510.00","1,495.50","1,510.00","1,486.00","12.15M","0.03%"
"07/23/2024","1,509.50","1,519.50","1,539.27","1,504.00","7.68M","-0.98%"
"07/22/2024","1,524.50","1,531.50","1,533.00","1,522.00","7.11M","0.13%"
"07/19/2024","1,522.50","1,509.50","1,538.00","1,504.00","8.98M","-0.49%"
"07/18/2024","1,530.00","1,552.00","1,552.00","1,519.00","3.55M","0.10%"
"07/17/2024","1,528.50","1,495.50","1,533.00","1,491.50","4.56M","1.83%"
"07/16/2024","1,501.00","1,479.50","1,507.00","1,479.50","4.14M","0.20%"
"07/15/2024","1,498.00","1,499.50","1,526.50","1,493.50","4.72M","-1.25%"
"07/12/2024","1,517.00","1,521.00","1,530.31","1,495.50","4.42M","0.80%"
"07/11/2024","1,505.00","1,506.50","1,516.50","1,495.50","5.08M","0.00%"
"07/10/2024","1,505.00","1,520.00","1,520.00","1,498.00","7.88M","-0.33%"
"07/09/2024","1,510.00","1,523.50","1,526.02","1,501.50","4.95M","0.03%"
"07/08/2024","1,509.50","1,498.00","1,520.00","1,487.00","9.94M","-0.10%"
"07/05/2024","1,511.00","1,501.00","1,527.50","1,486.00","8.16M","0.03%"
"07/04/2024","1,510.50","1,518.50","1,524.26","1,494.00","3.95M","0.47%"
"07/03/2024","1,503.50","1,513.50","1,513.50","1,496.50","9.87M","0.00%"
"07/02/2024","1,503.50","1,505.50","1,535.50","1,494.00","7.04M","-1.47%"
"07/01/2024","1,526.00","1,519.50","1,539.00","1,510.50","5.86M","-0.23%"
"06/28/2024","1,529.50","1,537.00","1,541.50","1,523.00","8.07M","0.23%"
"06/27/2024","1,526.00","1,503.50","1,537.59","1,484.00","10.68M","-4.60%"
"06/26/2024","1,599.50","1,600.50","1,612.75","1,591.00","5.25M","0.28%"
"06/25/2024","1,595.00","1,604.50","1,618.50","1,586.50","9.78M","-0.84%"
"06/24/2024","1,608.50","1,601.50","1,628.00","1,593.00","18.59M","0.59%"
"06/21/2024","1,599.00","1,608.00","1,628.00","1,575.00","16.61M","-1.17%"
"06/20/2024","1,618.00","1,606.50","1,629.00","1,606.00","3.92M","0.09%"
"06/19/2024","1,616.50","1,607.50","1,620.00","1,594.00","3.03M","0.28%"
"06/18/2024","1,612.00","1,608.00","1,619.00","1,604.50","4.67M","0.75%"
"06/17/2024","1,600.00","1,613.00","1,613.00","1,588.75","3.79M","-0.28%"
"06/14/2024","1,604.50","1,611.50","1,616.00","1,599.50","4.22M","-0.34%"
"06/13/2024","1,610.00","1,610.00","1,618.50","1,599.50","3.81M","0.31%"
"06/12/2024","1,605.00","1,605.00","1,621.00","1,595.00","10.25M","-0.62%"
"06/11/2024","1,615.00","1,611.00","1,640.50","1,609.00","20.84M","-0.37%"
"06/10/2024","1,621.00","1,618.00","1,639.00","1,607.00","6.39M","-0.49%"
"06/07/2024","1,629.00","1,623.00","1,650.00","1,610.81","6.98M","-0.67%"
"06/06/2024","1,640.00","1,640.50","1,661.00","1,627.50","8.93M","-0.64%"
"06/05/2024","1,650.50","1,631.00","1,663.68","1,630.50","8.61M","2.20%"
"06/04/2024","1,615.00","1,595.00","1,626.00","1,588.00","18.35M","1.06%"
"06/03/2024","1,598.00","1,616.50","1,637.50","1,589.00","24.11M","-9.54%"
"05/31/2024","1,766.50","1,735.50","1,766.50","1,719.50","17.48M","2.11%"
"05/30/2024","1,730.00","1,748.50","1,760.50","1,730.00","8.02M","-0.94%"
"05/29/2024","1,746.50","1,718.50","1,750.50","1,718.50","8.40M","0.37%"
"05/28/2024","1,740.00","1,763.50","1,787.50","1,740.00","4.68M","-1.94%"
"05/24/2024","1,774.50","1,767.00","1,793.50","1,766.50","4.16M","-0.20%"
"05/23/2024","1,778.00","1,796.00","1,808.50","1,772.50","6.82M","-0.59%"
"05/22/2024","1,788.50","1,733.50","1,792.50","1,733.50","10.46M","1.85%"
"05/21/2024","1,756.00","1,770.00","1,786.00","1,740.00","8.29M","-1.07%"
"05/20/2024","1,775.00","1,775.50","1,778.50","1,769.00","2.85M","0.00%"
"05/17/2024","1,775.00","1,773.50","1,779.50","1,764.50","9.69M","-0.48%"
"05/16/2024","1,783.50","1,779.00","1,823.50","1,775.50","5.28M","-1.60%"
"05/15/2024","1,812.50","1,811.00","1,820.00","1,799.00","4.86M","0.14%"
"05/14/2024","1,810.00","1,805.00","1,821.00","1,792.00","4.74M","0.00%"
"05/13/2024","1,810.00","1,786.00","1,810.50","1,786.00","4.24M","0.58%"
"05/10/2024","1,799.50","1,795.50","1,799.50","1,769.50","9.33M","1.07%"
"05/09/2024","1,780.50","1,780.00","1,789.50","1,762.50","6.40M","0.39%"
"05/08/2024","1,773.50","1,770.00","1,776.00","1,763.50","6.68M","0.71%"
"05/07/2024","1,761.00","1,736.50","1,767.50","1,736.00","14.30M","1.59%"
"05/03/2024","1,733.50","1,733.00","1,743.00","1,718.00","4.23M","0.29%"
"05/02/2024","1,728.50","1,705.00","1,739.56","1,695.50","6.28M","1.38%"
